geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS92_RS11460	886.610384677438	-0.003048999360139	1.01699100234234	0.184870015919955	0.995982241850941	0.999991084536226
HIS92_RS11465	1656.09730327965	0.0430699456879341	1.08977445352133	0.377552543818524	0.984273142284551	0.999991084536226
HIS92_RS11470	4197.28642489212	-0.24367224857801	1.15655928318074	0.853316469154606	0.931160683696888	0.999991084536226
HIS92_RS11475	87.8709176056082	1.07101228326207	0.658875558377159	4.06588363372356	0.397162893366807	0.999991084536226
HIS92_RS11480	376979.00323831	0.129975017841398	1.17310759739143	1.31351034137265	0.859079168464812	0.999991084536226
HIS92_RS11485	244.897739474431	0.301910062452164	0.405851643890777	2.55413306680484	0.63496936396114	0.999991084536226
HIS92_RS11490	2990.0270468562	0.536302799364054	0.441399305117852	3.86490221142952	0.424597984072629	0.999991084536226
HIS92_RS11495	722.009767648395	0.638289820880316	0.458103193427478	5.38163969237954	0.250331001141127	0.999991084536226
HIS92_RS11500	94.8275601942842	0.202380835235106	0.486072480170468	0.763273212915095	0.943302877132561	0.999991084536226
HIS92_RS11505	1407.36017025465	0.188711962285681	0.759229294456983	0.103660226924774	0.998702341396186	0.999991084536226
HIS92_RS11510	513.319058045783	0.277521346974272	0.741010180627012	0.278747775597708	0.991144445955056	0.999991084536226
HIS92_RS11520	13186.3292334344	0.343750430993135	0.680980311541714	1.81464694919839	0.769801540080573	0.999991084536226
HIS92_RS11525	15403.617900758	0.399127178117394	0.80444771300058	1.50655379034453	0.825479914960814	0.999991084536226
HIS92_RS11530	4403.5730546413	0.375137727520545	0.861822742420263	1.38852375867987	0.846187169952227	0.999991084536226
HIS92_RS11535	9088.42047507113	0.346411562407979	0.781419356292867	1.28235308048693	0.864362400558171	0.999991084536226
HIS92_RS11540	11343.1817338749	0.322842338525415	0.731219591420879	1.38473448055095	0.846843850267712	0.999991084536226
HIS92_RS11545	12739.7611801737	-0.122364680377281	0.288471295587926	0.670234011693367	0.954948302947349	0.999991084536226
HIS92_RS11550	52.7882254044619	-0.485939393201459	0.76180016390018	1.22578703307255	0.873834976385131	0.999991084536226
HIS92_RS11580	2.84280973811808	-2.77043935182181	2.206474513274	5.57197507641152	0.233474882565846	0.999991084536226
HIS92_RS11595	3.99110682415289	1.62367772368723	2.23619315853919	3.61179473248382	0.461084497158073	0.999991084536226
HIS92_RS11600	1889.71464693535	0.353419793491265	0.267142416274611	8.81805542529901	0.0658116531794048	0.999991084536226
HIS92_RS11605	49.54390307952	0.451468941040136	0.682694066483177	1.12628624793783	0.890079489068408	0.999991084536226
HIS92_RS11610	873.403025674486	0.286120741567436	0.578861661939978	0.528227642703087	0.970695473753486	0.999991084536226
HIS92_RS11615	1317.57750481591	0.427401287057184	0.468807722827704	2.08989339156994	0.719229360906522	0.999991084536226
HIS92_RS11620	1177.50176279644	0.279950998642526	0.447051671832149	1.86541398010672	0.76049527195715	0.999991084536226
HIS92_RS11625	648.220206301808	0.135964445831646	0.42628814192255	0.285385906990257	0.990737922859168	0.999991084536226
HIS92_RS11630	726.408330016609	-0.336877944527631	0.56972140463931	1.65530722742915	0.798819195064951	0.999991084536226
HIS92_RS11635	920.923160069774	0.367203492659161	0.366472411198121	4.27774673234953	0.369719957617277	0.999991084536226
HIS92_RS11640	864.492468319741	-0.454695849157378	0.401822787249527	3.57842241225529	0.466054652315709	0.999991084536226
HIS92_RS11645	145.862327932662	-0.508875063232066	0.482426971385185	1.46467916930649	0.832879147236833	0.999991084536226
HIS92_RS11650	151.19742833406	-0.289821406245334	0.518960669560783	0.731574447817536	0.947378823756127	0.999991084536226
HIS92_RS11655	916.217825073047	-0.537143201735503	0.447463656939344	3.28717057524136	0.510967532333967	0.999991084536226
HIS92_RS11660	780.172770447187	-0.806120636835052	0.348683971660065	9.77822590294608	0.0443338153195692	0.999991084536226
HIS92_RS11665	304.945025058379	0.100114841680988	0.775434021066043	0.609027659230037	0.962055245117203	0.999991084536226
HIS92_RS11685	7.11580558651775	-1.41354844980725	1.36379221155835	7.960200631253	0.0930470238248447	0.999991084536226
HIS92_RS11690	14.7118678193477	-0.0309045462862911	0.85032347754067	0.83335982658032	0.933920587453381	0.999991084536226
HIS92_RS11695	7.36153798985309	-0.645243139335771	1.16831634598831	1.19638968593678	0.878692674036323	0.999991084536226
HIS92_RS11710	59.0612749066352	0.198047927269324	0.496751045289478	1.36502885454377	0.850249817387147	0.999991084536226
HIS92_RS11715	24.3663274768213	0.45520795892272	1.00163524626274	0.978244569088872	0.913076685592028	0.999991084536226
HIS92_RS11720	29.4358603691521	0.713956212425634	0.80184333715011	3.1279726799423	0.536642507078471	0.999991084536226
HIS92_RS11725	15.6206396059783	0.789870663230944	0.932873444786589	3.70768921175195	0.447008559340253	0.999991084536226
HIS92_RS11730	5.71477060516434	1.17339405960391	1.66776417120706	1.65715695359862	0.798484597794383	0.999991084536226
HIS92_RS11735	201.596698921505	0.624092639268575	0.681038394637594	0.8808167492775	0.927296692715534	0.999991084536226
HIS92_RS11740	775.342775976274	0.623348383493026	0.553415699045909	1.3736630672974	0.848759339303748	0.999991084536226
HIS92_RS11745	638.38134411355	0.0965304394962063	0.729771772078762	0.954216914270489	0.916656905503682	0.999991084536226
HIS92_RS11750	1264.80601050406	0.481105380869024	0.606485428572683	0.773322622984892	0.9419883349155	0.999991084536226
HIS92_RS11755	3970.1781473114	-0.0757494891709645	0.630779283694179	1.0024255630945	0.909427972216076	0.999991084536226
HIS92_RS11760	2444.82357076611	-0.208792571665708	0.570404404822698	1.48358677221967	0.829544833490777	0.999991084536226
HIS92_RS11765	194.365355321093	0.0782667012319343	0.510777051870664	0.509055683387288	0.972613440797876	0.999991084536226
HIS92_RS11770	1429.70540541916	0.194889167255625	0.351382091578128	1.97193027265547	0.740921849449476	0.999991084536226
HIS92_RS11775	5534.01892457686	-0.0219037310634766	0.265827731747482	0.10190474098664	0.998745190033151	0.999991084536226
HIS92_RS11780	1709.66283952768	-0.14960892192641	1.00618153921375	0.635637537771686	0.959022399815991	0.999991084536226
HIS92_RS11785	14.8838762397472	0.425386690843208	0.816790152794688	2.07050758130391	0.722792377089085	0.999991084536226
HIS92_RS11790	5.44460240382137	-0.7969059211595	1.34676945385306	1.48905423452348	0.828578587622848	0.999991084536226
HIS92_RS11795	9.00820544111155	0.314520034765445	1.33239437134552	1.05277803314188	0.901690277876669	0.999991084536226
HIS92_RS11800	7680.64818890666	-0.0833300475984919	0.634266031316853	0.857752739006344	0.930542071841655	0.999991084536226
HIS92_RS11805	836.942432696775	-0.356232230875565	0.552693970466075	0.776290024151592	0.941598157428666	0.999991084536226
HIS92_RS11810	654.691417686015	-0.157855030952331	0.431532146016157	0.452241698802737	0.977980600885212	0.999991084536226
HIS92_RS11815	225.909545151787	0.167767082224678	0.42320852229248	1.09445724380541	0.895150626416751	0.999991084536226
HIS92_RS11820	727.246511241197	-0.0325352624880158	0.413135059519689	0.119590386119114	0.998281959824974	0.999991084536226
HIS92_RS11825	1843.89821620386	-0.0582194825865415	0.472929813111202	0.447000231474021	0.978451149513597	0.999991084536226
HIS92_RS11830	14.8093895845751	0.157979335622577	0.959877670847206	0.530892903983116	0.970424702576018	0.999991084536226
HIS92_RS11835	2667.1685191343	-0.337291807792999	0.376386316098814	2.86058017570616	0.581421413908153	0.999991084536226
HIS92_RS11840	27.1527261586456	0.225509661623507	0.770184976614712	1.59994441004068	0.808802126647819	0.999991084536226
HIS92_RS11845	231.171371780661	-0.257657922198291	0.517151615725725	0.465527211053455	0.976768970925185	0.999991084536226
HIS92_RS11855	122.201657809687	-0.186082769640486	0.95165797231979	0.638658103162697	0.958672524468032	0.999991084536226
HIS92_RS11860	3.95162631480416	0.701101026207019	1.55893187577974	2.3968687893712	0.663193201389518	0.999991084536226
HIS92_RS11865	21.8627584687355	0.173051860460057	0.946013463136882	0.306558242606798	0.989386894031036	0.999991084536226
HIS92_RS11875	6.11149233745523	-2.47479147483137	1.40440493546963	8.32658150756723	0.080321605489013	0.999991084536226
HIS92_RS11885	6.55964645754025	1.33080561593491	1.28420332782978	1.53537286058848	0.820357678743056	0.999991084536226
HIS92_RS11890	9.51962812355285	-0.273463676879724	1.23442110744622	5.13043016485389	0.274174449356218	0.999991084536226
HIS92_RS11895	7.32482965247098	-0.204286596558506	1.13731612313007	0.524744388813801	0.971047833778137	0.999991084536226
HIS92_RS11900	30.4308959409584	-0.0254658801588566	0.82938112252499	0.0553124603921162	0.999624544987431	0.999991084536226
HIS92_RS11910	561.484474993961	-0.171028572410953	0.638085617032531	0.468896962287914	0.976457370734252	0.999991084536226
HIS92_RS11915	7.28613122160045	-1.48472882972182	1.57907812887146	1.36357644268618	0.85050024715008	0.999991084536226
HIS92_RS11920	53.722839388175	-0.157762342685265	0.606188100378852	1.90650987453705	0.752949018750188	0.999991084536226
HIS92_RS11925	20.5847021577172	1.02758407812422	0.942841447378843	2.99939397870494	0.557926821713721	0.999991084536226
HIS92_RS11930	73.623854461616	-0.0439842042924193	0.526723652519574	3.05937405846919	0.547938931009893	0.999991084536226
HIS92_RS11935	247.195000461035	2.11421128459193	0.740175109658799	10.3944568962604	0.0342822935709726	0.999991084536226
HIS92_RS11945	3.38085364263839	0.0125668970581496	1.6947439657066	1.6881826494327	0.792863125639323	0.999991084536226
HIS92_RS11950	10.0070151388301	-0.298528333015983	1.25398644880872	0.303871842163417	0.989562864460273	0.999991084536226
HIS92_RS11955	3.90590601516566	1.5812676179125	1.79905477425823	2.01028104434668	0.733867798225729	0.999991084536226
HIS92_RS11960	27.8100930032256	0.294798037123979	0.659768201418096	1.01890093357474	0.906916575607993	0.999991084536226
HIS92_RS11965	124.244085515654	-0.122483202365687	0.483291744917438	0.560771318832565	0.967321535575472	0.999991084536226
HIS92_RS11970	35.757688667381	-0.114160419106011	0.682817392135509	3.73363536398222	0.443252768107054	0.999991084536226
HIS92_RS11985	7394.12440046137	0.573621852805674	0.508874944012417	1.61442936228644	0.806196418053621	0.999991084536226
HIS92_RS11990	19.0454992623045	0.215163582499216	1.16619748541731	1.99619069216365	0.736459564937879	0.999991084536226
HIS92_RS11995	4688.65326788907	0.250269596913233	0.482014620389399	1.60870583268434	0.807226578312337	0.999991084536226
HIS92_RS12000	816.939503034293	-0.355571225499169	0.418385143274151	2.47053613344278	0.649919411893833	0.999991084536226
HIS92_RS12005	326.864683465032	-0.088689325974431	0.426145085931098	1.05860430107901	0.900783237756895	0.999991084536226
HIS92_RS12010	825.564365904894	-0.151718004382608	0.37272865445528	3.21479092889734	0.52254527525282	0.999991084536226
HIS92_RS12015	1474.18043974279	-0.124437178269521	0.705867693398866	1.56195766094839	0.815612664515078	0.999991084536226
HIS92_RS12020	303.221186076691	-0.164058062576065	0.968326772156686	0.415723341431089	0.981169463412706	0.999991084536226
HIS92_RS12025	16.1288746015864	-0.0831530394162345	0.855930064158984	2.71712353735998	0.606221556184332	0.999991084536226
HIS92_RS12030	1135.14287057742	-0.314872889565187	0.436628317621668	1.30619583458298	0.860323442856785	0.999991084536226
HIS92_RS12035	965.474370776996	-0.280431426167831	0.518590631588755	0.761971977521966	0.943472312519847	0.999991084536226
HIS92_RS12040	144.80478568485	-0.219684529013898	0.731706614355347	0.354950582952171	0.985996248974492	0.999991084536226
HIS92_RS12045	246.382167360889	0.288990949710904	0.46106411548205	4.37329689981121	0.357836633376239	0.999991084536226
HIS92_RS12050	591.539731326769	0.459051162347909	0.641609927502713	3.8340314981761	0.428932952929098	0.999991084536226
HIS92_RS12055	103.768971695116	-0.389624391984703	0.576261891877979	1.89742701532535	0.75461764198511	0.999991084536226
HIS92_RS12070	129.767987568522	0.0935490076074658	0.747113316894742	0.0978128649484233	0.998842366657987	0.999991084536226
HIS92_RS12080	75.1882161173271	0.126574449640054	1.06201544381534	0.0165377825913708	0.999966000595882	0.999991084536226
HIS92_RS12085	1483.29073953509	-0.338690001472781	0.869488967671985	0.538191860020106	0.969678069998851	0.999991084536226
HIS92_RS12090	1276.95926889717	-0.18578757275458	0.821010877602868	0.296257017848006	0.99005451103266	0.999991084536226
HIS92_RS12095	894.108749317532	-0.118489651629738	0.823514354414008	0.481332605886678	0.975292623292791	0.999991084536226
HIS92_RS12100	685.08011986145	-0.210605114859188	0.90967620779196	0.296258054203463	0.990054444843534	0.999991084536226
HIS92_RS12105	114.080578315689	-0.671128309015419	1.34373869451335	1.01148019153811	0.908050250042647	0.999991084536226
HIS92_RS12110	199.546161254941	-1.01944855070676	1.58326735714518	0.805798319147499	0.937669032651605	0.999991084536226
HIS92_RS12115	83.2510472411095	0.290098999216392	0.569292736462349	1.19933817157181	0.87820757146911	0.999991084536226
HIS92_RS12120	104.173865784719	-0.161351264831543	0.442400183106712	0.944530169297281	0.918087115435543	0.999991084536226
HIS92_RS12125	145.478069818571	-0.113950160371564	0.528712797254318	0.404431775496448	0.982112455235624	0.999991084536226
HIS92_RS12130	215.9354261613	0.0408187757025642	0.451800148863882	0.291079657263538	0.990382708138342	0.999991084536226
